"11/29/2019, 10:26:58"
Center frequency,20.0971
""
freq,cplx data,fft centered
-114197.83956791359,(19.702911-13.055801j),0.57606745
-114147.82956591318,(19.273758-13.637543j),0.9930389
-114097.81956391278,(18.777847-10.137558j),0.2881814
-114047.80956191238,(19.874573-12.674332j),0.43178207
-113997.79955991197,(18.053055-13.742447j),2.543452
-113947.78955791159,(17.499924-12.09259j),0.76778674
-113897.77955591118,(17.967224-12.1974945j),0.62730515
-113847.76955391078,(18.053055-11.816025j),0.35957694
-113797.75955191038,(16.908646-13.036728j),0.4770938
-113747.74954990999,(17.347336-13.580322j),0.681152
-113697.73954790959,(18.224716-14.886856j),0.9952831
-113647.72954590918,(16.756058-16.30783j),0.2470051
-113597.71954390878,(19.17839-13.446808j),1.121283
-113547.70954190838,(17.42363-12.893677j),2.3784482
-113497.69953990798,(17.004013-12.5694275j),1.3431106
-113447.68953790759,(20.475388-12.760162j),0.9921034
-113397.67953590718,(17.39502-14.047623j),0.7422301
-113347.66953390678,(17.442703-14.381409j),1.0066739
-113297.65953190638,(18.119812-16.498566j),2.8937485
-113247.64952990599,(16.422272-13.513565j),1.2945099
-113197.63952790559,(15.583038-12.893677j),0.7227483
-113147.62952590518,(20.02716-14.810562j),1.0402249
-113097.61952390478,(17.871857-12.950897j),1.5643764
-113047.60952190438,(16.641617-12.292862j),1.1506575
-112997.59951990398,(21.162033-13.76152j),2.0347602
-112947.58951790359,(19.102097-14.58168j),1.0561776
-112897.57951590318,(20.866394-14.467239j),0.33446857
-112847.56951390278,(19.435883-11.606216j),0.9711894
-112797.55951190238,(18.911362-13.141632j),0.7308878
-112747.54950990198,(17.375946-15.506744j),1.0245825
-112697.53950790159,(15.907288-16.002655j),0.7397366
-112647.52950590118,(18.033981-13.494492j),0.46796292
-112597.51950390078,(17.547607-12.91275j),0.23262347
-112547.50950190038,(17.967224-16.441345j),0.93195945
-112497.49949989998,(16.25061-14.333725j),1.3340448
-112447.48949789957,(17.07077-13.837814j),0.72957456
-112397.47949589918,(14.925003-14.772415j),0.91779876
-112347.46949389878,(15.468597-14.324188j),0.3610826
-112297.45949189838,(18.949509-12.874603j),1.7810812
-112247.44948989798,(18.21518-12.025833j),1.0857745
-112197.43948789759,(18.100739-13.246536j),0.9436354
-112147.42948589718,(19.168854-13.208389j),1.5340081
-112097.41948389678,(19.397736-11.558533j),0.47683933
-112047.40948189638,(16.727448-13.647079j),1.8459523
-111997.39947989598,(17.375946-12.989044j),0.27386183
-111947.38947789557,(17.8051-13.141632j),1.925248
-111897.37947589518,(16.765594-13.494492j),1.493376
-111847.36947389478,(15.954971-12.111664j),0.54605764
-111797.35947189438,(18.2724-13.370514j),0.71115315
-111747.34946989398,(17.53807-11.806488j),1.7316643
-111697.33946789357,(17.175674-13.008118j),0.68349
-111647.32946589318,(17.375946-12.00676j),1.0899574
-111597.31946389278,(16.031265-10.7860565j),1.3455721
-111547.30946189238,(18.939972-13.76152j),1.4811113
-111497.29945989198,(15.3160095-14.181137j),1.697306
-111447.28945789157,(14.972687-12.06398j),0.38581422
-111397.27945589118,(16.889572-10.643005j),1.2341359
-111347.26945389078,(16.765594-13.999939j),0.8993154
-111297.25945189038,(16.908646-14.667511j),0.6462241
-111247.24944988998,(15.525818-12.111664j),1.1175796
-111197.23944788957,(16.422272-14.753342j),2.4831862
-111147.22944588918,(16.231537-15.497208j),1.908977
-111097.21944388878,(15.34462-13.656616j),0.56004584
-111047.20944188838,(15.153885-12.311935j),0.4793205
-110997.19943988798,(16.841888-12.454987j),2.0173848
-110947.18943788757,(18.043518-12.636185j),0.77466154
-110897.17943588717,(17.871857-13.008118j),0.65924233
-110847.16943388678,(15.287399-14.123917j),1.4597039
-110797.15943188638,(13.332367-12.998581j),2.7857318
-110747.14942988598,(16.57486-11.5299225j),1.4511528
-110697.13942788557,(17.07077-11.034012j),0.94334745
-110647.12942588518,(17.929077-14.104843j),0.50685024
-110597.11942388478,(18.167496-15.554428j),0.65888035
-110547.10942188438,(15.7260895-12.512207j),1.5096444
-110497.09941988398,(16.708374-12.5694275j),1.0191219
-110447.08941788357,(17.36641-14.619827j),0.8914
-110397.07941588317,(15.182495-13.9808655j),1.2709506
-110347.06941388278,(14.343262-11.892319j),1.2820904
-110297.05941188238,(15.6879425-12.044907j),1.2020993
-110247.04940988198,(17.39502-12.00676j),2.0350175
-110197.03940788157,(15.888214-11.949539j),0.49064535
-110147.02940588117,(15.659332-16.908646j),2.1928616
-110097.01940388078,(18.224716-12.245178j),1.1348783
-110047.00940188038,(14.629364-9.708405j),0.93117607
-109996.99939987998,(14.638901-14.209747j),2.108176
-109946.98939787957,(13.628006-13.990402j),0.8400069
-109896.97939587917,(14.58168-13.532639j),1.4831625
-109846.96939387878,(17.166138-11.854172j),1.0106055
-109796.95939187838,(14.152527-13.2751465j),2.3496485
-109746.94938987798,(15.039444-12.359619j),1.1817875
-109696.93938787757,(15.125275-14.52446j),1.5458763
-109646.92938587717,(17.404556-14.638901j),1.1272753
-109596.91938387678,(15.43045-11.100769j),2.723034
-109546.90938187638,(13.771057-12.874603j),2.1480396
-109496.89937987598,(17.194748-11.997223j),1.114176
-109446.88937787557,(13.828278-10.471344j),2.0871382
-109396.87937587517,(13.73291-9.384155j),1.9638338
-109346.86937387477,(16.66069-11.034012j),2.18505
-109296.85937187438,(15.182495-13.961792j),1.042189
-109246.84936987398,(15.0203705-11.1579895j),1.0084358
-109196.83936787357,(15.411377-11.339188j),1.289581
-109146.82936587317,(16.489029-14.162064j),0.9170889
-109096.81936387278,(15.077591-13.67569j),2.4052694
-109046.80936187238,(14.600754-13.713837j),1.7631596
-108996.79935987198,(16.679764-11.091232j),1.7457957
-108946.78935787157,(14.896393-10.01358j),2.4102454
-108896.77935587117,(13.618469-11.587143j),0.88452995
-108846.76935387077,(13.170242-11.110306j),2.6510503
-108796.75935187038,(14.381409-12.85553j),1.8280033
-108746.74934986998,(14.915466-11.472702j),0.72304684
-108696.73934786957,(15.277863-11.21521j),2.4619665
-108646.72934586917,(15.039444-11.739731j),1.355177
-108596.71934386878,(13.933182-11.739731j),1.5663202
-108546.70934186838,(14.829636-12.702942j),1.1911803
-108496.69933986798,(15.78331-12.598038j),0.24927814
-108446.68933786757,(15.392303-12.779236j),2.2308125
-108396.67933586717,(15.888214-11.377335j),1.4445364
-108346.66933386677,(15.716553-12.769699j),2.9686303
-108296.65933186637,(16.260147-9.708405j),1.0355651
-108246.64932986598,(14.896393-13.084412j),2.2397678
-108196.63932786557,(14.076233-14.028549j),0.63976574
-108146.62932586517,(17.786026-12.121201j),1.7667556
-108096.61932386477,(15.878677-14.352798j),2.3314695
-108046.60932186438,(17.147064-10.948181j),1.1427702
-107996.59931986398,(16.622543-10.938644j),3.487888
-107946.58931786357,(15.115738-11.472702j),2.0595894
-107896.57931586317,(14.066696-11.234283j),2.3666809
